33971;AK-47 | The Empress (Minimal Wear)
33972;AK-47 | The Empress (Well-Worn)
33973;AK-47 | Vulcan (Battle-Scarred)
33974;AK-47 | Vulcan (Factory New)
33975;AK-47 | Vulcan (Field-Tested)
33976;AK-47 | Vulcan (Minimal Wear)
33977;AK-47 | Vulcan (Well-Worn)
33978;AK-47 | Wasteland Rebel (Battle-Scarred)
33979;AK-47 | Wasteland Rebel (Factory New)
33980;AK-47 | Wasteland Rebel (Field-Tested)
33981;AK-47 | Wasteland Rebel (Minimal Wear)
33982;AK-47 | Wasteland Rebel (Well-Worn)
37513;Souvenir AK-47 | Safari Mesh (Battle-Scarred)
37514;Souvenir AK-47 | Safari Mesh (Factory New)
37515;Souvenir AK-47 | Safari Mesh (Field-Tested)
37516;Souvenir AK-47 | Safari Mesh (Minimal Wear)
37517;Souvenir AK-47 | Safari Mesh (Well-Worn)
38152;StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred)
38153;StatTrak™ AK-47 | Aquamarine Revenge (Factory New)
38154;StatTrak™ AK-47 | Aquamarine Revenge (Field-Tested)
38155;StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear)
38156;StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn)
38157;StatTrak™ AK-47 | Bloodsport (Factory New)
38158;StatTrak™ AK-47 | Bloodsport (Field-Tested)
38159;StatTrak™ AK-47 | Bloodsport (Minimal Wear)
38160;StatTrak™ AK-47 | Bloodsport (Well-Worn)
38161;StatTrak™ AK-47 | Blue Laminate (Factory New)
38162;StatTrak™ AK-47 | Blue Laminate (Field-Tested)
38163;StatTrak™ AK-47 | Blue Laminate (Minimal Wear)
38164;StatTrak™ AK-47 | Blue Laminate (Well-Worn)
38165;StatTrak™ AK-47 | Cartel (Battle-Scarred)
38166;StatTrak™ AK-47 | Cartel (Factory New)
38167;StatTrak™ AK-47 | Cartel (Field-Tested)
38168;StatTrak™ AK-47 | Cartel (Minimal Wear)
38169;StatTrak™ AK-47 | Cartel (Well-Worn)
38170;StatTrak™ AK-47 | Case Hardened (Battle-Scarred)
38171;StatTrak™ AK-47 | Case Hardened (Factory New)
38172;StatTrak™ AK-47 | Case Hardened (Field-Tested)
38173;StatTrak™ AK-47 | Case Hardened (Minimal Wear)
38174;StatTrak™ AK-47 | Case Hardened (Well-Worn)
38175;StatTrak™ AK-47 | Elite Build (Battle-Scarred)
38176;StatTrak™ AK-47 | Elite Build (Factory New)
38177;StatTrak™ AK-47 | Elite Build (Field-Tested)
38178;StatTrak™ AK-47 | Elite Build (Minimal Wear)
38179;StatTrak™ AK-47 | Elite Build (Well-Worn)
38180;StatTrak™ AK-47 | Fire Serpent (Battle-Scarred)
38181;StatTrak™ AK-47 | Fire Serpent (Field-Tested)
38182;StatTrak™ AK-47 | Fire Serpent (Minimal Wear)
38183;StatTrak™ AK-47 | Fire Serpent (Well-Worn)
38184;StatTrak™ AK-47 | Frontside Misty (Battle-Scarred)
38185;StatTrak™ AK-47 | Frontside Misty (Factory New)
38186;StatTrak™ AK-47 | Frontside Misty (Field-Tested)
38187;StatTrak™ AK-47 | Frontside Misty (Minimal Wear)
38188;StatTrak™ AK-47 | Frontside Misty (Well-Worn)
38189;StatTrak™ AK-47 | Fuel Injector (Battle-Scarred)
38190;StatTrak™ AK-47 | Fuel Injector (Factory New)
38191;StatTrak™ AK-47 | Fuel Injector (Field-Tested)
38192;StatTrak™ AK-47 | Fuel Injector (Minimal Wear)
38193;StatTrak™ AK-47 | Fuel Injector (Well-Worn)
38194;StatTrak™ AK-47 | Jaguar (Battle-Scarred)
38195;StatTrak™ AK-47 | Jaguar (Factory New)
38196;StatTrak™ AK-47 | Jaguar (Field-Tested)
38197;StatTrak™ AK-47 | Jaguar (Minimal Wear)
38198;StatTrak™ AK-47 | Jaguar (Well-Worn)
38199;StatTrak™ AK-47 | Neon Revolution (Battle-Scarred)
38200;StatTrak™ AK-47 | Neon Revolution (Factory New)
38201;StatTrak™ AK-47 | Neon Revolution (Field-Tested)
38202;StatTrak™ AK-47 | Neon Revolution (Minimal Wear)
38203;StatTrak™ AK-47 | Neon Revolution (Well-Worn)
38204;StatTrak™ AK-47 | Orbit Mk01 (Battle-Scarred)
